inst	noh	mks	cst
ACAD	12.5247	158.9	83571.3014
ACAD	21.3589	150.1	84470.1426
ACAD	7.695	163.8	83068.948
ACAD	14.7147	156.7	83809.2958
ACAD	49.6207	121.8	87557.7458
ACAD	32.734	138.7	85623.4151
ACAD	34.2193	137.2	85749.2749
ACAD	8.5236	162.9	83149.2357
ACAD	15.8295	155.6	83898.4479
ACAD	9.0185	162.4	83202.9135
ACAD	14.2785	157.2	83721.4697
ACAD	31.6815	139.8	85542.4286
ACAD	45.8294	125.6	87138.069
ACAD	36.9456	134.5	86068.0438
ACAD	25.2234	146.2	84913.6676
ACAD	40.8341	130.6	86549.4322
ACAD	20.6474	150.8	84354.1344
ACAD	10.4174	161.0	83358.0927
ACAD	44.9499	126.5	87004.774
ACAD	30.6138	140.8	85374.4337
ACAD	43.9263	127.5	86911.3821
ACAD	31.5222	139.9	85533.0872
ACAD	21.1688	150.3	84411.3299
ACAD	27.6974	143.8	85061.7497
ACAD	42.9755	128.5	86773.6506
ACAD	40.2204	131.2	86468.4787
ACAD	17.6811	153.8	84058.7682
ACAD	26.6139	144.8	84974.7714
ACAD	48.271	123.2	87401.7982
ACAD	28.5552	142.9	85186.5456
ACAD	23.7574	147.7	84642.3543
ACAD	25.8489	145.6	84876.7757
ACAD	32.9431	138.5	85610.3607
ACAD	33.5243	137.9	85669.9678
ACAD	24.9564	146.5	84769.1895
ACAD	42.4542	129.0	86755.7134
ACAD	37.5304	133.9	86249.8096
ACAD	8.6199	162.8	83163.3149
ACAD	18.5261	152.9	84187.1788
ACAD	7.9381	163.5	83096.259
ACAD	12.0401	159.4	83493.2837
ACAD	47.318	124.1	87308.9069
ACAD	50.2239	121.2	87644.796
ACAD	11.1799	160.3	83405.7128
ACAD	19.3342	152.1	84238.9036
ACAD	37.6212	133.8	86273.6911
ACAD	6.3189	165.1	82936.964
ACAD	41.7865	129.7	86613.3215
ACAD	35.7435	135.7	85925.4838
ACAD	9.2156	162.2	83223.2552
ACAD	13.2395	158.2	83633.912
ACAD	15.35	156.1	83806.9799
ACAD	48.0614	123.4	87372.0316
ACAD	45.1443	126.3	87035.047
ACAD	7.47	164.0	83050.4867
ACAD	42.251	129.2	86711.8866
ACAD	21.6467	149.8	84485.4618
ACAD	14.1803	157.3	83710.117
ACAD	23.2272	148.2	84627.8994
ACAD	32.8237	138.6	85631.6139
ACAD	33.7559	137.7	85721.7333
ACAD	9.8198	161.6	83315.1851
ACAD	25.2263	146.2	84873.4699
ACAD	36.8606	134.6	86096.426
ACAD	34.82	136.6	85833.3087
ACAD	50.0115	121.4	87608.1207
ACAD	2.826	168.6	82601.4969
ACAD	11.8433	159.6	83496.8359
ACAD	25.1535	146.3	84807.1072
ACAD	24.503	147.0	84777.6867
ACAD	39.7773	131.7	86403.8344
ACAD	17.9346	153.5	84100.6119
ACAD	21.4038	150.1	84456.2796
ACAD	33.1172	138.3	85669.0162
ACAD	5.4128	166.0	82852.1698
ACAD	14.5243	156.9	83793.1987
ACAD	27.657	143.8	85075.8353
ACAD	38.5472	132.9	86218.2101
ACAD	30.3118	141.1	85355.6956
ACAD	42.8621	128.6	86760.03
ACAD	42.6144	128.8	86768.1258
