config	inst	time	count	rfsz	best	spr	hv	gd	
nsga150k2x	I0	650500	80	415	0.0096	0.4504	0.5169	0.0017	
nsga150k2x	I0	627004	80	415	0.0217	0.4827	0.5142	0.0027	
nsga150k2x	I0	617980	80	415	0.0386	0.5117	0.5159	0.0029	
nsga150k2x	I0	619652	80	415	0.0241	0.5130	0.5153	0.0016	
nsga150k2x	I0	617435	80	415	0.0169	0.5356	0.5135	0.0025	
nsga150k2x	I0	619548	80	415	0.0241	0.5709	0.5192	0.0028	
nsga150k2x	I0	618409	80	415	0.0120	0.4755	0.5140	0.0022	
nsga150k2x	I0	619757	80	415	0.0241	0.5160	0.5185	0.0017	
nsga150k2x	I0	617767	80	415	0.0096	0.5371	0.5119	0.0037	
nsga150k2x	I0	617032	80	415	0.0145	0.4591	0.5159	0.0024	
nsga150k2x	I0	620988	80	415	0.0241	0.4869	0.5168	0.0017	
nsga150k2x	I0	616400	80	415	0.0120	0.4856	0.5114	0.0027	
nsga150k2x	I0	618142	80	415	0.0169	0.4780	0.5148	0.0024	
nsga150k2x	I0	617840	80	415	0.0048	0.5163	0.5112	0.0047	
nsga150k2x	I0	618230	80	415	0.0410	0.4761	0.5171	0.0020	
nsga150k2x	I0	618219	80	415	0.0289	0.4714	0.5170	0.0017	
nsga150k2x	I0	619944	80	415	0.0313	0.4957	0.5157	0.0017	
nsga150k2x	I0	619075	80	415	0.0265	0.5320	0.5171	0.0018	
nsga150k2x	I0	618435	80	415	0.0024	0.5096	0.5115	0.0026	
nsga150k2x	I0	616867	80	415	0.0193	0.4851	0.5166	0.0026	
nsga150k2x	I0	617466	80	415	0.0096	0.4677	0.5150	0.0021	
nsga150k2x	I0	617155	79	415	0.0120	0.5280	0.5173	0.0019	
nsga150k2x	I0	619987	80	415	0.0169	0.5051	0.5144	0.0033	
nsga150k2x	I0	615274	80	415	0.0265	0.4808	0.5216	0.0017	
nsga150k2x	I0	618901	80	415	0.0169	0.5171	0.5145	0.0023	
nsga150k2x	I0	617951	80	415	0.0193	0.5092	0.5160	0.0032	
nsga150k2x	I0	616720	80	415	0.0386	0.4659	0.5192	0.0018	
nsga150k2x	I0	615871	80	415	0.0096	0.5003	0.5148	0.0028	
nsga150k2x	I0	618513	80	415	0.0145	0.4961	0.5157	0.0022	
nsga150k2x	I0	618325	80	415	0.0241	0.5198	0.5166	0.0021	
nsga150k2x	I0	618054	80	415	0.0241	0.5117	0.5167	0.0024	
nsga150k2x	I0	616703	80	415	0.0193	0.5088	0.5151	0.0026	
nsga150k2x	I0	616704	80	415	0.0241	0.5010	0.5201	0.0015	
nsga150k2x	I0	619656	80	415	0.0169	0.5847	0.5173	0.0039	
nsga150k2x	I0	617500	80	415	0.0386	0.4767	0.5200	0.0016	
nsga150k2x	I0	616618	80	415	0.0265	0.5109	0.5161	0.0020	
nsga150k2x	I0	616024	80	415	0.0120	0.4936	0.5151	0.0027	
nsga150k2x	I0	614552	80	415	0.0265	0.5603	0.5193	0.0032	
nsga150k2x	I0	615687	80	415	0.0072	0.5666	0.5116	0.0020	
nsga150k2x	I0	618402	79	415	0.0193	0.5065	0.5153	0.0021	
nsga150k2x	I0	619032	80	415	0.0265	0.5400	0.5169	0.0029	
nsga150k2x	I0	618968	80	415	0.0241	0.5609	0.5197	0.0035	
nsga150k2x	I0	620203	80	415	0.0169	0.4813	0.5163	0.0020	
nsga150k2x	I0	617268	80	415	0.0289	0.5416	0.5179	0.0018	
nsga150k2x	I0	618879	80	415	0.0217	0.4908	0.5141	0.0024	
nsga150k2x	I0	618109	80	415	0.0120	0.4703	0.5188	0.0021	
nsga150k2x	I0	616917	80	415	0.0217	0.5022	0.5148	0.0033	
nsga150k2x	I0	617454	80	415	0.0096	0.4975	0.5149	0.0019	
nsga150k2x	I0	617470	80	415	0.0169	0.5370	0.5154	0.0029	
nsga150k2x	I0	617651	80	415	0.0072	0.4923	0.5123	0.0022	
CPM	I0	216	2	415	0.0048	0.9485	0.0663	0.0000	
MAR	I0	379	4	415	0.0024	0.7194	0.2303	0.1783	
SH	I0	140	9	415	0.0072	0.1194	0.3589	0.0488	
nsga150k2x	I1	3502684	168	262	0.0153	0.6131	0.4569	0.0015	
nsga150k2x	I1	3494039	168	262	0.0191	0.7072	0.4486	0.0021	
nsga150k2x	I1	3488137	163	262	0.0115	0.6331	0.4531	0.0019	
nsga150k2x	I1	3500689	148	262	0.0115	0.6873	0.4570	0.0017	
nsga150k2x	I1	3503619	146	262	0.0153	0.7025	0.4470	0.0021	
nsga150k2x	I1	3493227	160	262	0.0420	0.6665	0.4533	0.0016	
nsga150k2x	I1	3499735	138	262	0.0305	0.7172	0.4634	0.0017	
nsga150k2x	I1	3494030	167	262	0.0000	0.5968	0.4534	0.0018	
nsga150k2x	I1	3483744	161	262	0.0305	0.6423	0.4563	0.0018	
nsga150k2x	I1	3495313	155	262	0.0420	0.6384	0.4624	0.0016	
