config	inst	time	count	rfsz	best	spr	hv	gd	
nsga150k2x	I1	3490112	167	262	0.0038	0.5837	0.4555	0.0018	
nsga150k2x	I1	3487779	165	262	0.0153	0.6563	0.4558	0.0017	
nsga150k2x	I1	3607917	163	262	0.0191	0.6493	0.4579	0.0016	
nsga150k2x	I1	3642741	148	262	0.0153	0.6224	0.4586	0.0016	
nsga150k2x	I1	3630220	138	262	0.0382	0.6302	0.4617	0.0016	
nsga150k2x	I1	3650715	163	262	0.0115	0.7036	0.4556	0.0018	
nsga150k2x	I1	3645041	168	262	0.0153	0.6337	0.4563	0.0017	
nsga150k2x	I1	3635288	168	262	0.0229	0.6793	0.4536	0.0016	
nsga150k2x	I1	3629860	146	262	0.0191	0.6193	0.4521	0.0022	
nsga150k2x	I1	3636461	163	262	0.0115	0.6802	0.4511	0.0020	
nsga150k2x	I1	3631097	156	262	0.0115	0.7258	0.4557	0.0022	
nsga150k2x	I1	2418287	155	262	0.0115	0.6863	0.4569	0.0017	
nsga150k2x	I1	2337163	144	262	0.0382	0.6617	0.4613	0.0015	
nsga150k2x	I1	2323514	163	262	0.0115	0.6766	0.4587	0.0016	
nsga150k2x	I1	2326231	138	262	0.0153	0.6570	0.4581	0.0018	
nsga150k2x	I1	2327111	161	262	0.0076	0.6817	0.4518	0.0018	
nsga150k2x	I1	2330065	164	262	0.0267	0.7235	0.4550	0.0018	
nsga150k2x	I1	2327272	162	262	0.0344	0.6651	0.4611	0.0015	
nsga150k2x	I1	2327125	149	262	0.0305	0.6486	0.4590	0.0016	
nsga150k2x	I1	2331447	168	262	0.0344	0.6828	0.4579	0.0016	
nsga150k2x	I1	2338247	167	262	0.0458	0.7246	0.4592	0.0016	
nsga150k2x	I1	2337911	160	262	0.0229	0.7027	0.4569	0.0018	
nsga150k2x	I1	2326365	166	262	0.0191	0.6510	0.4547	0.0018	
nsga150k2x	I1	2331943	162	262	0.0153	0.6235	0.4567	0.0018	
nsga150k2x	I1	2338457	159	262	0.0115	0.6931	0.4533	0.0019	
nsga150k2x	I1	2324590	156	262	0.0191	0.6656	0.4559	0.0018	
nsga150k2x	I1	2326938	164	262	0.0267	0.6579	0.4548	0.0017	
nsga150k2x	I1	2330610	153	262	0.0191	0.7108	0.4550	0.0018	
nsga150k2x	I1	2331092	168	262	0.0115	0.6434	0.4573	0.0017	
nsga150k2x	I1	2329479	162	262	0.0191	0.6718	0.4553	0.0016	
nsga150k2x	I1	2334181	168	262	0.0153	0.6289	0.4578	0.0016	
nsga150k2x	I1	2335409	156	262	0.0115	0.6723	0.4564	0.0017	
nsga150k2x	I1	2329881	159	262	0.0038	0.6800	0.4559	0.0015	
nsga150k2x	I1	2336441	165	262	0.0191	0.6571	0.4559	0.0017	
nsga150k2x	I1	2319312	164	262	0.0115	0.6401	0.4513	0.0018	
nsga150k2x	I1	2328629	165	262	0.0191	0.6191	0.4593	0.0016	
nsga150k2x	I1	2334593	168	262	0.0153	0.6754	0.4550	0.0017	
nsga150k2x	I1	2323551	155	262	0.0267	0.6841	0.4535	0.0019	
nsga150k2x	I1	2331567	167	262	0.0153	0.6423	0.4560	0.0017	
nsga150k2x	I1	2326047	164	262	0.0229	0.6502	0.4575	0.0016	
CPM	I1	289	5	262	0.0076	0.5164	0.2089	0.1356	
MAR	I1	373	7	262	0.0076	0.6774	0.2545	0.2346	
SH	I1	251	9	262	0.0115	0.1195	0.3544	0.0300	
nsga150k2x	I2	4264363	109	146	0.0068	0.6957	0.4218	0.0030	
nsga150k2x	I2	4236152	91	146	0.0274	0.7642	0.4188	0.0037	
nsga150k2x	I2	4230046	102	146	0.0205	0.7567	0.4219	0.0040	
nsga150k2x	I2	4241271	103	146	0.0068	0.7367	0.4187	0.0033	
nsga150k2x	I2	4236035	101	146	0.0068	0.7409	0.4217	0.0034	
nsga150k2x	I2	4232312	98	146	0.0137	0.7614	0.4197	0.0039	
nsga150k2x	I2	4225361	98	146	0.0205	0.7276	0.4224	0.0031	
nsga150k2x	I2	4266111	104	146	0.0205	0.6903	0.4203	0.0035	
nsga150k2x	I2	4269992	94	146	0.0137	0.6989	0.4206	0.0031	
nsga150k2x	I2	4280458	101	146	0.0137	0.7118	0.4162	0.0040	
nsga150k2x	I2	4274155	110	146	0.0274	0.7481	0.4211	0.0034	
nsga150k2x	I2	4269280	103	146	0.0274	0.7493	0.4220	0.0033	
nsga150k2x	I2	4268393	106	146	0.0205	0.7297	0.4181	0.0038	
nsga150k2x	I2	4280495	99	146	0.0205	0.7184	0.4209	0.0035	
nsga150k2x	I2	4268552	98	146	0.0137	0.7636	0.4199	0.0044	
nsga150k2x	I2	4279969	94	146	0.0137	0.7052	0.4203	0.0030	
nsga150k2x	I2	4270763	103	146	0.0342	0.8008	0.4284	0.0032	
nsga150k2x	I2	4152353	112	146	0.0342	0.7663	0.4214	0.0035	
nsga150k2x	I2	4106196	109	146	0.0342	0.7474	0.4240	0.0030	
nsga150k2x	I2	4097724	104	146	0.0068	0.7567	0.4182	0.0042	
nsga150k2x	I2	4100455	118	146	0.0137	0.7235	0.4260	0.0030	
nsga150k2x	I2	4098748	103	146	0.0068	0.7439	0.4203	0.0034	
nsga150k2x	I2	4094702	96	146	0.0342	0.7288	0.4248	0.0039	
nsga150k2x	I2	4090469	108	146	0.0205	0.6983	0.4218	0.0031	
nsga150k2x	I2	4103495	114	146	0.0068	0.7019	0.4151	0.0035	
nsga150k2x	I2	2927440	90	146	0.0137	0.7231	0.4240	0.0032	
nsga150k2x	I2	2736683	96	146	0.0137	0.7461	0.4221	0.0032	
nsga150k2x	I2	2738136	107	146	0.0205	0.7666	0.4215	0.0033	
nsga150k2x	I2	2737110	97	146	0.0411	0.6995	0.4255	0.0036	
nsga150k2x	I2	2729898	91	146	0.0342	0.6783	0.4235	0.0034	
nsga150k2x	I2	2729560	99	146	0.0000	0.7555	0.4204	0.0033	
nsga150k2x	I2	2740118	98	146	0.0479	0.7230	0.4234	0.0030	
nsga150k2x	I2	2738721	88	146	0.0411	0.6974	0.4232	0.0035	
nsga150k2x	I2	2729330	98	146	0.0274	0.7137	0.4231	0.0034	
nsga150k2x	I2	2731596	106	146	0.0000	0.6970	0.4182	0.0033	
nsga150k2x	I2	2737142	117	146	0.0000	0.7759	0.4175	0.0040	
nsga150k2x	I2	2732169	94	146	0.0411	0.7096	0.4248	0.0033	
nsga150k2x	I2	2736503	99	146	0.0137	0.7064	0.4196	0.0034	
nsga150k2x	I2	2734607	103	146	0.0137	0.7250	0.4150	0.0035	
nsga150k2x	I2	2735679	114	146	0.0137	0.7175	0.4122	0.0036	
nsga150k2x	I2	2729600	100	146	0.0205	0.6933	0.4213	0.0036	
nsga150k2x	I2	2733612	99	146	0.0000	0.6571	0.4196	0.0034	
nsga150k2x	I2	2738090	101	146	0.0000	0.7226	0.4180	0.0033	
nsga150k2x	I2	2735528	93	146	0.0342	0.7290	0.4271	0.0032	
nsga150k2x	I2	2736008	103	146	0.0137	0.6987	0.4244	0.0032	
nsga150k2x	I2	2735115	104	146	0.0205	0.7401	0.4210	0.0037	
nsga150k2x	I2	2733676	100	146	0.0274	0.6427	0.4210	0.0029	
nsga150k2x	I2	2738758	108	146	0.0137	0.7263	0.4221	0.0031	
nsga150k2x	I2	2737396	96	146	0.0137	0.6769	0.4226	0.0031	
nsga150k2x	I2	2619386	115	146	0.0205	0.7474	0.4189	0.0031	
CPM	I2	330	2	146	0.0137	0.9613	0.0498	0.0000	
MAR	I2	416	4	146	0.0137	0.7151	0.2308	0.1518	
SH	I2	287	9	146	0.0342	0.1182	0.3579	0.0215	
nsga150k2x	I3	2014760	143	316	0.0127	0.5730	0.3343	0.0039	
nsga150k2x	I3	2018386	144	316	0.0063	0.6729	0.3317	0.0095	
nsga150k2x	I3	2010212	144	316	0.0222	0.5730	0.3326	0.0044	
nsga150k2x	I3	2015989	144	316	0.0253	0.5973	0.3328	0.0034	
nsga150k2x	I3	2010396	143	316	0.0285	0.7879	0.3371	0.0123	
nsga150k2x	I3	2044504	144	316	0.0000	0.6077	0.3290	0.0063	
nsga150k2x	I3	2241054	143	316	0.0032	0.6294	0.3308	0.0046	
nsga150k2x	I3	2035317	144	316	0.0063	0.6616	0.3259	0.0103	
nsga150k2x	I3	2017359	144	316	0.0253	0.5647	0.3339	0.0030	
nsga150k2x	I3	2015170	144	316	0.0285	0.6438	0.3383	0.0056	
nsga150k2x	I3	2016078	144	316	0.0063	0.5916	0.3287	0.0045	
nsga150k2x	I3	2018419	143	316	0.0222	0.6225	0.3310	0.0046	
nsga150k2x	I3	2017808	144	316	0.0380	0.5698	0.3386	0.0035	
nsga150k2x	I3	2011509	143	316	0.0253	0.5728	0.3417	0.0040	
nsga150k2x	I3	2018828	144	316	0.0190	0.5807	0.3304	0.0031	
nsga150k2x	I3	2031589	144	316	0.0222	0.6117	0.3355	0.0044	
nsga150k2x	I3	2013152	144	316	0.0190	0.5442	0.3255	0.0036	
nsga150k2x	I3	2016663	144	316	0.0158	0.5539	0.3345	0.0036	
nsga150k2x	I3	2023156	144	316	0.0158	0.5555	0.3307	0.0033	
nsga150k2x	I3	2016395	144	316	0.0127	0.6814	0.3287	0.0056	
nsga150k2x	I3	2004007	144	316	0.0095	0.6139	0.3300	0.0049	
nsga150k2x	I3	2016888	143	316	0.0253	0.6407	0.3330	0.0039	
nsga150k2x	I3	2013643	142	316	0.0063	0.7012	0.3316	0.0054	
nsga150k2x	I3	2007301	143	316	0.0253	0.5557	0.3299	0.0031	
nsga150k2x	I3	2021555	144	316	0.0348	0.6342	0.3381	0.0040	
nsga150k2x	I3	2008372	144	316	0.0316	0.7265	0.3362	0.0057	
nsga150k2x	I3	2011756	144	316	0.0190	0.6200	0.3364	0.0039	
nsga150k2x	I3	2020781	144	316	0.0190	0.5718	0.3322	0.0046	
nsga150k2x	I3	2017291	144	316	0.0348	0.5643	0.3332	0.0033	
nsga150k2x	I3	2016076	143	316	0.0095	0.6608	0.3340	0.0044	
nsga150k2x	I3	2010740	141	316	0.0253	0.6770	0.3343	0.0067	
nsga150k2x	I3	2022031	144	316	0.0222	0.6438	0.3310	0.0041	
nsga150k2x	I3	2012069	144	316	0.0222	0.5425	0.3353	0.0034	
nsga150k2x	I3	2022940	144	316	0.0127	0.6312	0.3314	0.0045	
nsga150k2x	I3	2008411	144	316	0.0190	0.7801	0.3300	0.0132	
nsga150k2x	I3	2014211	144	316	0.0253	0.5994	0.3345	0.0031	
nsga150k2x	I3	2013904	144	316	0.0190	0.6191	0.3305	0.0037	
nsga150k2x	I3	2020527	144	316	0.0253	0.6744	0.3353	0.0044	
nsga150k2x	I3	2009721	144	316	0.0158	0.6520	0.3334	0.0054	
nsga150k2x	I3	2019080	139	316	0.0190	0.6892	0.3312	0.0083	
nsga150k2x	I3	2012435	143	316	0.0222	0.9142	0.3307	0.0177	
nsga150k2x	I3	2008998	144	316	0.0285	0.6392	0.3257	0.0070	
nsga150k2x	I3	2008158	143	316	0.0348	0.5513	0.3359	0.0033	
nsga150k2x	I3	2008013	144	316	0.0127	0.6107	0.3303	0.0054	
nsga150k2x	I3	2014722	140	316	0.0095	0.6022	0.3308	0.0047	
nsga150k2x	I3	2012434	143	316	0.0190	0.6275	0.3340	0.0054	
nsga150k2x	I3	2004527	144	316	0.0190	0.7017	0.3335	0.0062	
nsga150k2x	I3	2028284	144	316	0.0158	0.7254	0.3348	0.0068	
nsga150k2x	I3	2014365	144	316	0.0316	0.8577	0.3342	0.0146	
nsga150k2x	I3	2019922	142	316	0.0190	0.6744	0.3339	0.0043	
CPM	I3	330	2	316	0.0063	0.9353	0.0633	0.0000	
MAR	I3	332	3	316	0.0063	0.6891	0.1496	0.2309	
SH	I3	263	9	316	0.0063	0.5156	0.2069	0.2725	
nsga150k2x	I4	1508801	120	379	0.0132	0.4502	0.4890	0.0018	
nsga150k2x	I4	1463516	120	379	0.0132	0.4651	0.4882	0.0018	
nsga150k2x	I4	1469780	120	379	0.0079	0.4463	0.4914	0.0016	
nsga150k2x	I4	1473404	120	379	0.0158	0.4709	0.4902	0.0019	
nsga150k2x	I4	1469388	120	379	0.0158	0.4945	0.4936	0.0013	
nsga150k2x	I4	1476975	120	379	0.0290	0.4945	0.4912	0.0017	
nsga150k2x	I4	1472150	120	379	0.0237	0.4755	0.4922	0.0016	
nsga150k2x	I4	1468868	120	379	0.0158	0.5000	0.4935	0.0013	
nsga150k2x	I4	1472463	119	379	0.0396	0.4988	0.4960	0.0010	
nsga150k2x	I4	1471123	120	379	0.0185	0.5094	0.4919	0.0017	
nsga150k2x	I4	1470999	120	379	0.0158	0.5133	0.4921	0.0015	
nsga150k2x	I4	1470527	120	379	0.0185	0.4677	0.4887	0.0018	
nsga150k2x	I4	1468649	120	379	0.0158	0.4280	0.4945	0.0017	
nsga150k2x	I4	1462285	120	379	0.0211	0.4446	0.4931	0.0020	
nsga150k2x	I4	1460935	120	379	0.0132	0.4279	0.4899	0.0016	
nsga150k2x	I4	1466871	120	379	0.0290	0.4904	0.4957	0.0011	
nsga150k2x	I4	1467100	120	379	0.0237	0.4734	0.4944	0.0015	
nsga150k2x	I4	1467532	120	379	0.0343	0.4927	0.4952	0.0013	
nsga150k2x	I4	1467100	120	379	0.0317	0.4764	0.4937	0.0014	
nsga150k2x	I4	1471981	119	379	0.0237	0.5231	0.4957	0.0012	
nsga150k2x	I4	1462394	120	379	0.0106	0.4925	0.4901	0.0018	
nsga150k2x	I4	1473991	120	379	0.0158	0.4263	0.4935	0.0015	
nsga150k2x	I4	1477259	120	379	0.0106	0.4824	0.4908	0.0016	
nsga150k2x	I4	1478887	120	379	0.0185	0.4644	0.4914	0.0018	
nsga150k2x	I4	1483110	120	379	0.0158	0.5049	0.4865	0.0022	
nsga150k2x	I4	1474499	120	379	0.0106	0.4892	0.4933	0.0013	
nsga150k2x	I4	1474998	120	379	0.0053	0.4707	0.4919	0.0016	
nsga150k2x	I4	1484994	120	379	0.0290	0.4602	0.4927	0.0016	
nsga150k2x	I4	1480082	120	379	0.0158	0.5113	0.4922	0.0014	
nsga150k2x	I4	1475143	120	379	0.0343	0.4881	0.4946	0.0020	
nsga150k2x	I4	1475338	120	379	0.0449	0.4754	0.4973	0.0013	
nsga150k2x	I4	1480617	120	379	0.0211	0.4725	0.4937	0.0014	
nsga150k2x	I4	1477904	120	379	0.0211	0.4854	0.4916	0.0014	
nsga150k2x	I4	1475320	120	379	0.0185	0.4369	0.4948	0.0012	
nsga150k2x	I4	1479292	120	379	0.0211	0.5092	0.4942	0.0016	
nsga150k2x	I4	1477563	120	379	0.0106	0.5108	0.4929	0.0013	
nsga150k2x	I4	1477157	120	379	0.0317	0.4957	0.4934	0.0014	
nsga150k2x	I4	1478769	120	379	0.0264	0.4655	0.4957	0.0012	
nsga150k2x	I4	1479859	120	379	0.0211	0.4918	0.4881	0.0020	
nsga150k2x	I4	1475048	120	379	0.0053	0.4355	0.4902	0.0017	
nsga150k2x	I4	1474881	120	379	0.0106	0.4603	0.4937	0.0015	
nsga150k2x	I4	1470646	120	379	0.0158	0.4670	0.4929	0.0012	
nsga150k2x	I4	1475046	120	379	0.0079	0.5010	0.4911	0.0015	
nsga150k2x	I4	1480827	120	379	0.0053	0.4617	0.4861	0.0021	
nsga150k2x	I4	1479441	120	379	0.0106	0.5008	0.4863	0.0019	
nsga150k2x	I4	1475976	120	379	0.0158	0.4753	0.4902	0.0018	
nsga150k2x	I4	1474970	120	379	0.0317	0.4515	0.4929	0.0013	
nsga150k2x	I4	1476110	120	379	0.0106	0.4357	0.4941	0.0015	
nsga150k2x	I4	1483442	120	379	0.0211	0.5264	0.4894	0.0018	
nsga150k2x	I4	1478870	120	379	0.0501	0.4454	0.4967	0.0011	
CPM	I4	139	4	379	0.0053	0.7761	0.1718	0.1510	
MAR	I4	108	7	379	0.0053	0.6772	0.2547	0.2414	
SH	I4	106	9	379	0.0079	0.1198	0.3547	0.0418	
nsga150k2x	I5	642038	88	362	0.0276	0.4327	0.5023	0.0012	
nsga150k2x	I5	641152	88	362	0.0608	0.4702	0.5041	0.0011	
nsga150k2x	I5	634670	88	362	0.0276	0.4128	0.4960	0.0020	
nsga150k2x	I5	640476	88	362	0.0249	0.4963	0.5005	0.0015	
nsga150k2x	I5	640865	88	362	0.0193	0.4738	0.4992	0.0018	
nsga150k2x	I5	643274	88	362	0.0193	0.4953	0.4962	0.0019	
nsga150k2x	I5	643356	88	362	0.0166	0.5254	0.4971	0.0019	
nsga150k2x	I5	639130	88	362	0.0166	0.4021	0.4971	0.0021	
nsga150k2x	I5	640709	88	362	0.0276	0.4470	0.5006	0.0016	
nsga150k2x	I5	640390	88	362	0.0028	0.4450	0.4965	0.0018	
nsga150k2x	I5	641725	88	362	0.0110	0.4595	0.4960	0.0021	
nsga150k2x	I5	643994	88	362	0.0166	0.5120	0.4963	0.0019	
nsga150k2x	I5	640935	88	362	0.0359	0.4853	0.5008	0.0013	
nsga150k2x	I5	637982	88	362	0.0249	0.4132	0.5011	0.0015	
nsga150k2x	I5	638697	88	362	0.0249	0.4446	0.5012	0.0016	
nsga150k2x	I5	642299	88	362	0.0083	0.5101	0.4984	0.0017	
nsga150k2x	I5	642282	88	362	0.0083	0.4327	0.4959	0.0019	
nsga150k2x	I5	641564	88	362	0.0028	0.4032	0.4956	0.0023	
nsga150k2x	I5	642764	88	362	0.0166	0.4441	0.4961	0.0023	
nsga150k2x	I5	639238	88	362	0.0414	0.4596	0.5033	0.0012	
nsga150k2x	I5	640791	88	362	0.0193	0.4554	0.4943	0.0023	
nsga150k2x	I5	639386	88	362	0.0249	0.4178	0.5007	0.0015	
nsga150k2x	I5	642409	88	362	0.0359	0.4578	0.5003	0.0018	
nsga150k2x	I5	641760	88	362	0.0028	0.4501	0.4929	0.0023	
nsga150k2x	I5	640183	88	362	0.0304	0.4262	0.5008	0.0017	
nsga150k2x	I5	641697	88	362	0.0166	0.4825	0.5009	0.0016	
nsga150k2x	I5	641645	88	362	0.0055	0.4748	0.4937	0.0023	
nsga150k2x	I5	644863	88	362	0.0249	0.4888	0.4950	0.0019	
nsga150k2x	I5	640292	88	362	0.0193	0.4742	0.4977	0.0017	
nsga150k2x	I5	643828	88	362	0.0110	0.5032	0.4953	0.0020	
nsga150k2x	I5	642335	88	362	0.0110	0.4548	0.4926	0.0024	
nsga150k2x	I5	643236	88	362	0.0249	0.4575	0.4996	0.0019	
nsga150k2x	I5	640271	88	362	0.0221	0.4369	0.4993	0.0017	
nsga150k2x	I5	640604	88	362	0.0304	0.4615	0.4991	0.0019	
nsga150k2x	I5	641299	88	362	0.0166	0.4630	0.4992	0.0016	
nsga150k2x	I5	641409	88	362	0.0193	0.4272	0.4990	0.0019	
nsga150k2x	I5	642508	88	362	0.0110	0.4768	0.4986	0.0018	
nsga150k2x	I5	641973	88	362	0.0304	0.4457	0.4988	0.0020	
nsga150k2x	I5	640629	88	362	0.0166	0.4534	0.4978	0.0019	
nsga150k2x	I5	643533	88	362	0.0249	0.4487	0.4989	0.0018	
nsga150k2x	I5	642294	88	362	0.0055	0.4216	0.4926	0.0026	
nsga150k2x	I5	643080	88	362	0.0276	0.5119	0.4959	0.0028	
nsga150k2x	I5	643544	88	362	0.0083	0.4289	0.4943	0.0024	
nsga150k2x	I5	640878	88	362	0.0028	0.4245	0.4980	0.0018	
nsga150k2x	I5	642140	88	362	0.0166	0.4452	0.4997	0.0017	
nsga150k2x	I5	642634	88	362	0.0166	0.4967	0.4977	0.0020	
nsga150k2x	I5	643734	88	362	0.0221	0.4591	0.4968	0.0022	
nsga150k2x	I5	642114	88	362	0.0110	0.4751	0.4992	0.0016	
nsga150k2x	I5	637368	88	362	0.0221	0.4096	0.4976	0.0021	
nsga150k2x	I5	639653	88	362	0.0249	0.4295	0.4995	0.0017	
CPM	I5	52	5	362	0.0055	0.5646	0.1913	0.1530	
MAR	I5	70	7	362	0.0055	0.6776	0.2544	0.2420	
SH	I5	44	9	362	0.0055	0.1200	0.3538	0.0418	

