config	inst	time	count	best	spr	hv	gd	
nsga150k2x	I1	2326231	138	0.0149	0.6148	0.5103	0.0021	
nsga150k2x	I1	2327111	161	0.0074	0.6409	0.5021	0.0021	
nsga150k2x	I1	2330065	164	0.0260	0.6887	0.5063	0.0021	
nsga150k2x	I1	2327272	162	0.0372	0.6250	0.5121	0.0018	
nsga150k2x	I1	2327125	149	0.0297	0.6055	0.5092	0.0019	
nsga150k2x	I1	2331447	168	0.0335	0.6520	0.5088	0.0019	
nsga150k2x	I1	2338247	167	0.0483	0.6897	0.5109	0.0019	
nsga150k2x	I1	2337911	160	0.0223	0.6654	0.5082	0.0021	
nsga150k2x	I1	2326365	166	0.0186	0.6093	0.5042	0.0022	
nsga150k2x	I1	2331943	162	0.0149	0.5729	0.5082	0.0021	
nsga150k2x	I1	2338457	159	0.0149	0.6589	0.5052	0.0022	
nsga150k2x	I1	2324590	156	0.0223	0.6236	0.5061	0.0021	
nsga150k2x	I1	2326938	164	0.0260	0.6215	0.5060	0.0020	
nsga150k2x	I1	2330610	153	0.0186	0.6756	0.5073	0.0021	
nsga150k2x	I1	2331092	168	0.0112	0.6109	0.5069	0.0020	
nsga150k2x	I1	2329479	162	0.0186	0.6280	0.5070	0.0019	
nsga150k2x	I1	2334181	168	0.0149	0.5845	0.5082	0.0019	
nsga150k2x	I1	2335409	156	0.0112	0.6337	0.5077	0.0020	
nsga150k2x	I1	2329881	159	0.0037	0.6391	0.5075	0.0018	
nsga150k2x	I1	2336441	165	0.0223	0.6123	0.5078	0.0020	
nsga150k2x	I1	2319312	164	0.0112	0.5987	0.5022	0.0021	
nsga150k2x	I1	2328629	165	0.0186	0.5720	0.5103	0.0019	
nsga150k2x	I1	2334593	168	0.0149	0.6306	0.5058	0.0020	
nsga150k2x	I1	2323551	155	0.0260	0.6438	0.5044	0.0023	
nsga150k2x	I1	2331567	167	0.0149	0.5984	0.5070	0.0020	
nsga150k2x	I1	2326047	164	0.0223	0.6178	0.5084	0.0019	
nsga150k2x	I2	4264363	109	0.0128	0.6293	0.4943	0.0040	
nsga150k2x	I2	4236152	91	0.0256	0.7218	0.4933	0.0051	
nsga150k2x	I2	4230046	102	0.0256	0.7205	0.4919	0.0055	
nsga150k2x	I2	4241271	103	0.0128	0.6791	0.4941	0.0044	
nsga150k2x	I2	4236035	101	0.0064	0.6921	0.4941	0.0045	
nsga150k2x	I2	4232312	98	0.0128	0.7322	0.4933	0.0053	
nsga150k2x	I2	4225361	98	0.0256	0.6643	0.4976	0.0041	
nsga150k2x	I2	4266111	104	0.0192	0.6327	0.4932	0.0046	
nsga150k2x	I2	4269992	94	0.0128	0.6274	0.4960	0.0041	
nsga150k2x	I2	4280458	101	0.0128	0.6553	0.4870	0.0054	
nsga150k2x	I2	4274155	110	0.0321	0.7134	0.4954	0.0046	
nsga150k2x	I2	4269280	103	0.0256	0.7038	0.4968	0.0041	
nsga150k2x	I2	4268393	106	0.0192	0.7031	0.4918	0.0053	
nsga150k2x	I2	4280495	99	0.0192	0.6654	0.4935	0.0048	
nsga150k2x	I2	4268552	98	0.0128	0.7280	0.4942	0.0062	
nsga150k2x	I2	4279969	94	0.0128	0.6400	0.4951	0.0040	
nsga150k2x	I2	4270763	103	0.0321	0.7689	0.5038	0.0041	
nsga150k2x	I2	4152353	112	0.0321	0.7285	0.4952	0.0047	
nsga150k2x	I2	4106196	109	0.0321	0.6912	0.4960	0.0040	
nsga150k2x	I2	4097724	104	0.0064	0.7197	0.4888	0.0059	
nsga150k2x	I2	4100455	118	0.0256	0.6714	0.4987	0.0040	
nsga150k2x	I2	4098748	103	0.0064	0.6917	0.4929	0.0046	
nsga150k2x	I2	4094702	96	0.0449	0.6795	0.4999	0.0054	
nsga150k2x	I2	4090469	108	0.0192	0.6300	0.4966	0.0040	
nsga150k2x	I2	4103495	114	0.0064	0.6342	0.4844	0.0047	
nsga150k2x	I2	2927440	90	0.0128	0.6575	0.4995	0.0041	
nsga150k2x	I2	2736683	96	0.0192	0.6988	0.4975	0.0044	
nsga150k2x	I2	2738136	107	0.0192	0.7263	0.4932	0.0044	
nsga150k2x	I2	2737110	97	0.0513	0.6315	0.5030	0.0050	
nsga150k2x	I2	2729898	91	0.0385	0.6059	0.5001	0.0048	
nsga150k2x	I2	2729560	99	0.0000	0.7028	0.4929	0.0046	
nsga150k2x	I2	2740118	98	0.0513	0.6582	0.4989	0.0040	
nsga150k2x	I2	2738721	88	0.0385	0.6336	0.4973	0.0045	
nsga150k2x	I2	2729330	98	0.0256	0.6502	0.4947	0.0043	
nsga150k2x	I2	2731596	106	0.0000	0.6230	0.4888	0.0045	
nsga150k2x	I2	2737142	117	0.0000	0.7437	0.4891	0.0056	
nsga150k2x	I2	2732169	94	0.0385	0.6439	0.5015	0.0041	
nsga150k2x	I2	2736503	99	0.0128	0.6437	0.4929	0.0048	
nsga150k2x	I2	2734607	103	0.0128	0.6638	0.4856	0.0047	
nsga150k2x	I2	2735679	114	0.0128	0.6664	0.4805	0.0048	
nsga150k2x	I2	2729600	100	0.0192	0.6281	0.4937	0.0048	
nsga150k2x	I2	2733612	99	0.0064	0.5985	0.4915	0.0045	
nsga150k2x	I2	2738090	101	0.0000	0.6616	0.4902	0.0044	
nsga150k2x	I2	2735528	93	0.0321	0.6737	0.4999	0.0040	
nsga150k2x	I2	2736008	103	0.0192	0.6392	0.4992	0.0043	
nsga150k2x	I2	2735115	104	0.0192	0.7090	0.4963	0.0050	
nsga150k2x	I2	2733676	100	0.0256	0.5600	0.4933	0.0039	
nsga150k2x	I2	2738758	108	0.0128	0.6637	0.4950	0.0040	
nsga150k2x	I2	2737396	96	0.0192	0.6037	0.4942	0.0042	
nsga150k2x	I2	2619386	115	0.0192	0.6945	0.4911	0.0043	
nsga150k2x	I3	2014760	143	0.0124	0.5862	0.4046	0.0039	
nsga150k2x	I3	2018386	144	0.0062	0.6495	0.4013	0.0060	
nsga150k2x	I3	2010212	144	0.0217	0.5469	0.4038	0.0038	
nsga150k2x	I3	2015989	144	0.0248	0.5992	0.4034	0.0033	
nsga150k2x	I3	2010396	143	0.0279	0.7791	0.4055	0.0098	
nsga150k2x	I3	2044504	144	0.0000	0.5743	0.3993	0.0038	
nsga150k2x	I3	2241054	143	0.0031	0.6273	0.4008	0.0043	
nsga150k2x	I3	2035317	144	0.0062	0.6416	0.3931	0.0068	
nsga150k2x	I3	2017359	144	0.0248	0.5798	0.4039	0.0029	
nsga150k2x	I3	2015170	144	0.0279	0.6185	0.4084	0.0038	
nsga150k2x	I3	2016078	144	0.0062	0.5740	0.3985	0.0038	
nsga150k2x	I3	2018419	143	0.0217	0.5952	0.4007	0.0040	
nsga150k2x	I3	2017808	144	0.0402	0.5690	0.4122	0.0034	
nsga150k2x	I3	2011509	143	0.0248	0.6102	0.4192	0.0040	
nsga150k2x	I3	2018828	144	0.0217	0.5879	0.3990	0.0030	
nsga150k2x	I3	2031589	144	0.0248	0.5761	0.4067	0.0028	
nsga150k2x	I3	2013152	144	0.0186	0.5615	0.3938	0.0034	
nsga150k2x	I3	2016663	144	0.0155	0.5457	0.4088	0.0034	
nsga150k2x	I3	2023156	144	0.0155	0.5648	0.4008	0.0032	
nsga150k2x	I3	2016395	144	0.0124	0.6596	0.3980	0.0039	
nsga150k2x	I3	2004007	144	0.0093	0.6171	0.3991	0.0050	
nsga150k2x	I3	2016888	143	0.0279	0.6406	0.4037	0.0039	
nsga150k2x	I3	2013643	142	0.0093	0.6800	0.4041	0.0041	
nsga150k2x	I3	2007301	143	0.0248	0.5832	0.3996	0.0031	
nsga150k2x	I3	2021555	144	0.0372	0.5990	0.4095	0.0028	
nsga150k2x	I3	2008372	144	0.0310	0.7113	0.4090	0.0047	
nsga150k2x	I3	2011756	144	0.0186	0.6061	0.4072	0.0033	
nsga150k2x	I3	2020781	144	0.0186	0.5405	0.4003	0.0037	
nsga150k2x	I3	2017291	144	0.0341	0.5863	0.4036	0.0031	
nsga150k2x	I3	2016076	143	0.0124	0.6336	0.4050	0.0036	
