inst	noh	mks	cst
ACAD	28.5597	143.1	85295.3413
ACAD	12.5139	158.9	83542.6484
ACAD	6.6106	164.9	82960.5787
ACAD	12.0846	159.4	83499.5788
ACAD	22.9695	148.5	84589.2501
ACAD	13.0735	158.4	83614.4444
ACAD	13.0165	158.4	83632.7331
ACAD	2.6312	168.8	82578.5589
ACAD	5.1089	166.4	82823.5682
ACAD	34.9193	137.6	86387.9159
ACAD	33.4353	138.5	85986.0608
ACAD	17.3553	154.1	84033.5119
ACAD	32.7989	139.2	85929.9009
ACAD	11.7481	159.7	83511.3389
ACAD	17.9227	153.5	84080.502
ACAD	16.7742	154.7	83962.4309
ACAD	7.1832	164.3	83015.5439
ACAD	25.5574	146.0	84951.7211
ACAD	12.7135	158.7	83572.6097
ACAD	3.6752	167.8	82694.4662
ACAD	5.9277	165.5	82911.1278
ACAD	20.0192	151.4	84305.5453
ACAD	6.6945	164.8	82968.6316
ACAD	21.1995	150.3	84454.1821
ACAD	7.8434	163.6	83084.9891
ACAD	4.3387	167.1	82751.7942
ACAD	16.0235	155.4	83870.2753
ACAD	35.0601	137.4	86439.3664
ACAD	34.0563	138.3	86259.0961
ACAD	9.3716	162.1	83221.2981
ACAD	14.9156	156.5	83757.8526
ACAD	4.9602	166.5	82800.5994
ACAD	7.4646	164.0	83041.0943
ACAD	13.1994	158.3	83610.1921
ACAD	29.5625	142.1	85442.6839
ACAD	2.7294	168.7	82587.9781
ACAD	25.5657	145.9	84902.0913
ACAD	22.6161	148.8	84610.9547
ACAD	8.6569	162.8	83175.2413
ACAD	14.4323	157.0	83734.489
ACAD	16.9666	154.5	83991.9986
ACAD	19.4482	152.0	84223.9934
ACAD	6.5511	165.0	83028.5777
ACAD	2.5999	168.9	82575.364
ACAD	44.4548	133.4	90039.0011
ACAD	44.2857	133.5	89982.6875
ACAD	41.8251	134.0	88742.5574
ACAD	4.8502	166.6	82803.1518
ACAD	7.0253	164.4	83023.4168
ACAD	12.0256	159.4	83509.0417
ACAD	11.426	160.0	83466.4096
ACAD	16.244	155.2	83907.3526
ACAD	9.8598	161.6	83299.3046
ACAD	5.1631	166.3	82821.6155
ACAD	9.55	162.0	83330.0809
ACAD	31.2642	140.6	85745.9291
ACAD	26.9469	144.6	85138.6621
ACAD	29.9659	141.7	85483.9154
ACAD	8.8685	162.6	83176.2822
ACAD	18.8912	152.7	84213.6649
ACAD	28.0007	143.6	85206.7938
ACAD	24.0375	147.5	84825.6125
ACAD	9.6125	161.8	83254.8265
ACAD	7.2759	164.2	83036.2758
ACAD	11.7995	159.7	83482.4531
ACAD	13.6163	157.8	83656.8322
ACAD	20.5335	150.9	84354.694
ACAD	13.1367	158.3	83610.4829
ACAD	14.5215	156.9	83743.7618
ACAD	2.0827	169.7	82658.7378
ACAD	19.209	152.3	84208.0068
ACAD	28.0143	143.4	85164.4821
ACAD	20.4302	151.0	84347.2832
ACAD	4.2879	167.3	82810.7901
ACAD	8.6381	162.8	83187.4123
ACAD	30.4363	141.1	85457.4041
ACAD	34.6913	137.8	86386.4013
ACAD	8.2381	163.3	83141.9292
ACAD	24.4458	147.0	84711.1486
ACAD	21.7642	149.7	84452.6253
ACAD	28.6387	142.9	85266.5286
ACAD	22.529	148.9	84502.9184
ACAD	21.2476	150.2	84406.6699
ACAD	34.1277	138.1	86217.992
ACAD	29.3603	142.3	85417.7406
ACAD	46.2588	133.2	91015.0726
ACAD	9.0815	162.4	83213.2448
ACAD	15.6452	155.8	83866.7955
ACAD	14.1206	157.3	83696.5363
ACAD	2.5141	169.1	82639.8709
ACAD	29.9768	141.6	85474.0371
ACAD	11.3167	160.1	83419.5144
ACAD	7.859	163.6	83080.212
ACAD	19.1197	152.3	84249.3155
ACAD	8.9606	162.5	83211.9166
ACAD	20.2839	151.2	84343.7201
ACAD	27.0032	144.7	85126.9837
ACAD	13.9135	157.5	83661.6583
ACAD	25.4774	146.1	84912.951
ACAD	18.3862	153.1	84116.1234
ACAD	24.651	146.8	84770.7538
ACAD	10.3107	161.2	83340.375
ACAD	5.455	166.0	82855.6995
ACAD	11.233	160.2	83410.3892
ACAD	26.4415	145.0	84953.4158
ACAD	37.2049	136.0	86981.0984
ACAD	13.5568	157.9	83626.9359
ACAD	21.3905	150.1	84450.4097
ACAD	18.1275	153.3	84105.3216
ACAD	6.9121	164.5	82995.4169
ACAD	17.2421	154.2	83998.4019
ACAD	15.3139	156.1	83827.2591
ACAD	6.5986	164.9	82981.2833
ACAD	20.8984	150.6	84400.5543
ACAD	27.6169	144.0	85168.4926
ACAD	9.1968	162.3	83230.7062
ACAD	6.8208	164.6	82980.7577
ACAD	29.3921	142.2	85380.7777
ACAD	7.9488	163.5	83087.2758
ACAD	31.521	140.4	85791.4545
ACAD	18.6988	152.8	84136.2763
ACAD	8.3873	163.1	83151.5029
ACAD	19.9717	151.5	84278.5775
ACAD	3.4087	168.1	82678.3086
ACAD	42.3475	133.6	88872.3112
ACAD	40.6476	134.4	88260.3157
ACAD	36.3095	136.6	86758.2655
ACAD	11.2154	160.2	83414.4633
ACAD	21.5428	149.9	84452.7838
ACAD	15.0884	156.4	83821.6776
ACAD	21.0407	150.4	84393.0041
ACAD	42.1349	133.9	88879.1967
ACAD	17.4379	154.0	84006.3531
ACAD	3.3785	168.2	82726.031
ACAD	5.0647	166.4	82855.2869
ACAD	26.2703	145.2	84999.4031
ACAD	18.8991	152.6	84152.405
ACAD	25.6786	145.8	84924.3758
ACAD	12.7556	158.7	83562.5919
ACAD	14.2836	157.2	83697.1834
ACAD	3.941	167.5	82718.3253
ACAD	35.4175	137.0	86408.3985
ACAD	29.1505	142.6	85410.0045
ACAD	4.3936	167.1	82747.7463
ACAD	14.0444	157.4	83758.0508
ACAD	36.1616	136.7	86726.0104
ACAD	5.6361	165.8	82867.0257
ACAD	12.6765	158.8	83591.2201
ACAD	32.9885	139.0	85945.5218
ACAD	9.0528	162.4	83221.9842
ACAD	32.2295	139.7	85836.339
ACAD	13.2654	158.2	83599.1373
ACAD	27.568	144.0	85193.4919
ACAD	7.9188	163.5	83101.1542
ACAD	7.745	163.7	83087.6793
ACAD	32.6206	139.5	86015.1443
ACAD	3.8556	167.7	82755.3136
ACAD	12.319	159.1	83523.8128
ACAD	10.0552	161.4	83291.2625
ACAD	14.2161	157.2	83702.8361
ACAD	25.8821	145.7	84997.1136
ACAD	10.8038	160.7	83369.1917
ACAD	21.6531	149.8	84449.5005
ACAD	18.1676	153.3	84101.1556
ACAD	15.6554	155.8	83834.9403
ACAD	16.412	155.0	83948.4976
ACAD	22.6574	148.8	84558.1862
ACAD	18.4427	153.0	84140.0262
ACAD	38.4204	135.4	87409.6716
ACAD	25.1525	146.3	84847.6686
ACAD	19.2528	152.2	84226.7068
ACAD	12.4754	159.0	83541.2409
ACAD	5.4719	166.0	82851.2569
ACAD	27.7117	143.7	85144.5873
ACAD	25.9173	145.5	84931.708
ACAD	15.3132	156.1	83836.7493
ACAD	29.7638	141.8	85392.5354
ACAD	26.682	144.8	85040.5728
ACAD	28.5263	143.1	85308.2393
ACAD	28.8265	142.7	85282.7522
ACAD	19.3587	152.1	84223.8094
ACAD	13.6659	157.8	83650.0089
ACAD	22.3292	149.1	84546.7452
ACAD	38.2423	135.5	87347.1224
ACAD	8.6075	162.9	83191.3543
ACAD	15.3542	156.1	83811.5348
ACAD	11.9574	159.5	83485.1699
ACAD	8.4631	163.0	83149.9884
ACAD	10.4692	161.0	83342.0786
ACAD	18.121	153.3	84131.573
ACAD	20.7479	150.7	84410.1975
ACAD	18.9293	152.5	84178.1523
ACAD	23.1651	148.3	84667.4944
ACAD	40.09	134.6	87987.6144
ACAD	16.9603	154.5	84008.4242
ACAD	17.6633	153.8	84071.2565
ACAD	23.0744	148.4	84615.7663
ACAD	10.8332	160.6	83389.8318
ACAD	23.7487	147.8	84740.2471
ACAD	8.1328	163.3	83145.1713
ACAD	19.8435	151.6	84248.3445
ACAD	16.1211	155.3	83894.7114
ACAD	14.6466	156.8	83745.2532
ACAD	7.7466	163.7	83083.2874
ACAD	27.1361	144.3	85051.3048
ACAD	4.8249	166.7	82824.8132
ACAD	41.0435	134.2	88411.7756
ACAD	38.5636	135.2	87387.991
ACAD	37.7163	135.8	87193.2594
ACAD	13.4735	158.0	83625.6086
ACAD	15.1968	156.3	83784.3297
ACAD	29.2076	142.5	85414.961
ACAD	30.5831	141.0	85481.2914
ACAD	5.8135	165.6	82900.6654
ACAD	10.6162	160.8	83395.619
ACAD	1.0254	170.4	82424.4017
ACAD	11.0346	160.4	83431.5719
ACAD	1.8868	169.9	82639.9314
ACAD	8.7097	162.8	83162.0862
ACAD	14.3827	157.1	83777.4719
ACAD	4.5718	167.0	82809.3068
ACAD	17.5473	153.9	84035.0399
ACAD	5.4285	166.0	82859.2251
ACAD	22.927	148.6	84645.9683
ACAD	31.4745	140.5	85755.8387
ACAD	5.75	165.7	82877.9633
ACAD	15.7286	155.7	83861.7722
ACAD	26.3523	145.1	84972.7878
ACAD	13.5497	157.9	83640.7775
ACAD	10.3556	161.1	83320.0926
ACAD	11.7068	159.8	83461.9406
ACAD	19.4249	152.0	84227.3652
ACAD	20.8826	150.6	84419.5709
ACAD	23.574	148.0	84708.529
ACAD	2.9543	168.5	82609.576
ACAD	12.6615	158.8	83593.3333
ACAD	11.0444	160.4	83399.8799
ACAD	13.9019	157.6	83738.5547
ACAD	23.2035	148.3	84603.2576
ACAD	24.8041	146.7	84843.283
ACAD	22.2106	149.2	84560.5734
ACAD	9.2283	162.2	83240.4996
ACAD	13.3441	158.1	83659.6445
